data, 2.3522, 48.8566, 7020000.0
data, -0.1275, 51.5072, 6979000.0
data, -3.6919, 40.4189, 4588000.0
data, 13.3833, 52.5167, 3644826.0
data, 2.1769, 41.3825, 3266126.0
data, -1.9025, 52.48, 2897303.0
data, 12.4828, 41.8931, 2872800.0
data, -2.2453, 53.4794, 2705000.0
data, -1.5492, 53.7997, 1901934.0
data, 26.0833, 44.4, 1883425.0
data, 16.3731, 48.2083, 1840573.0
data, 10.0, 53.55, 1841179.0
data, 21.0333, 52.2167, 1790658.0
data, 19.0408, 47.4983, 1752286.0
data, -1.6578, 55.0077, 1650000.0
data, 11.5755, 48.1372, 1471508.0
data, -1.12, 52.6736, 1424216.0
data, 4.27, 52.08, 1406000.0
data, 9.19, 45.4669, 1351562.0
data, 23.3241, 42.6975, 1355142.0
data, 14.4167, 50.0833, 1324277.0
data, -5.9731, 37.3828, 1212045.0
data, -6.2658, 53.3425, 1173179.0
data, 12.5635, 55.6786, 1085000.0
data, 6.9578, 50.9422, 1085664.0
data, 4.9166, 52.35, 1031000.0
data, 7.2663, 43.7034, 1006402.0
data, 4.48, 51.92, 1005000.0
